Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons_Spring,Seasons_Summer,Seasons_Winter,Holiday_No Holiday,Functioning Day_Yes,Rented Bike Count
0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,False,False,True,True,True,302.0569056323711
1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,False,False,True,True,True,190.62298137987804
2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,False,False,True,True,True,235.66362004379917
3,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,False,False,True,True,True,254.35256010115964
4,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,False,False,True,True,True,55.3457499361285
5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,False,False,True,True,True,77.34733834954193
6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,False,False,True,True,True,333.7882400535377
7,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,False,False,True,True,True,534.2490185438136
8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,False,False,True,True,True,884.5785314855299
9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,False,False,True,True,True,542.4924781314138
10,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,False,False,True,True,True,294.1645142445618
11,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,False,False,True,True,True,314.9408232444563
12,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,False,False,True,True,True,472.4097578672781
13,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,False,False,True,True,True,265.890863068038
14,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,False,False,True,True,True,280.11485489563165
15,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,False,False,True,True,True,408.5988951247349
16,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,False,False,True,True,True,386.0089738205236
17,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,False,False,True,True,True,585.4033100651632
18,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,False,False,True,True,True,774.1490155963866
19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,False,False,True,True,True,463.36015334400236
20,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,False,False,True,True,True,567.8009616824252
21,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,False,False,True,True,True,383.1562286865984
22,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,False,False,True,True,True,404.53332815370294
23,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,False,False,True,True,True,185.156154158942
0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,False,False,True,True,True,275.33117818004234
1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,False,False,True,True,True,318.7317184216909
2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,False,False,True,True,True,150.64180857677707
3,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,False,False,True,True,True,203.34864057013996
4,-3.8,79,2.0,1167,-6.9,0.0,0.0,0.0,False,False,True,True,True,30.88843489642563
5,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,False,False,True,True,True,50.77874050419702
6,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,False,False,True,True,True,11.785113818514525
7,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,False,False,True,True,True,325.20721078352847
8,-4.2,79,2.1,1436,-7.3,0.01,0.0,0.0,False,False,True,True,True,217.69414863337883
9,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,False,False,True,True,True,225.66686938350261
10,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,False,False,True,True,True,413.58090781124986
11,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,False,False,True,True,True,269.8838405894784
12,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,False,False,True,True,True,499.20747348214644
13,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,False,False,True,True,True,416.40265987400244
14,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,False,False,True,True,True,482.49850426609373
15,7.6,41,2.3,1953,-4.8,0.74,0.0,0.0,False,False,True,True,True,608.0462497947395
16,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,False,False,True,True,True,689.4463611160618
17,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,False,False,True,True,True,588.579816112753
18,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,False,False,True,True,True,477.81107260667926
