rental_id,Date,Hour,Rented Bike Count
1,01/12/2017,0,254
2,01/12/2017,1,204
3,01/12/2017,2,173
4,01/12/2017,3,107
5,01/12/2017,4,78
6,01/12/2017,5,100
7,01/12/2017,6,181
8,01/12/2017,7,460
9,01/12/2017,8,930
10,01/12/2017,9,490
11,01/12/2017,10,339
12,01/12/2017,11,360
13,01/12/2017,12,449
14,01/12/2017,13,451
15,01/12/2017,14,447
16,01/12/2017,15,463
17,01/12/2017,16,484
18,01/12/2017,17,555
19,01/12/2017,18,862
20,01/12/2017,19,600
21,01/12/2017,20,426
22,01/12/2017,21,405
23,01/12/2017,22,398
24,01/12/2017,23,323
25,02/12/2017,0,328
26,02/12/2017,1,308
27,02/12/2017,2,262
28,02/12/2017,3,167
29,02/12/2017,4,89
30,02/12/2017,5,79
31,02/12/2017,6,70
32,02/12/2017,7,146
33,02/12/2017,8,219
34,02/12/2017,9,328
35,02/12/2017,10,334
36,02/12/2017,11,388
37,02/12/2017,12,479
38,02/12/2017,13,606
39,02/12/2017,14,611
40,02/12/2017,15,589
41,02/12/2017,16,618
42,02/12/2017,17,572
43,02/12/2017,18,489
44,02/12/2017,19,385
45,02/12/2017,20,359
46,02/12/2017,21,377
47,02/12/2017,22,354
48,02/12/2017,23,366
49,03/12/2017,0,342
50,03/12/2017,1,227
51,03/12/2017,2,228
52,03/12/2017,3,117
53,03/12/2017,4,76
54,03/12/2017,5,32
55,03/12/2017,6,13
56,03/12/2017,7,22
57,03/12/2017,8,85
58,03/12/2017,9,152
59,03/12/2017,10,200
60,03/12/2017,11,273
61,03/12/2017,12,333
62,03/12/2017,13,495
63,03/12/2017,14,563
64,03/12/2017,15,621
65,03/12/2017,16,598
66,03/12/2017,17,545
67,03/12/2017,18,443
68,03/12/2017,19,422
69,03/12/2017,20,397
70,03/12/2017,21,385
71,03/12/2017,22,350
72,03/12/2017,23,303
73,04/12/2017,0,285
74,04/12/2017,1,186
75,04/12/2017,2,112
76,04/12/2017,3,65
77,04/12/2017,4,41
78,04/12/2017,5,82
79,04/12/2017,6,200
80,04/12/2017,7,498
81,04/12/2017,8,937
82,04/12/2017,9,509
83,04/12/2017,10,311
84,04/12/2017,11,379
85,04/12/2017,12,393
86,04/12/2017,13,391
87,04/12/2017,14,338
88,04/12/2017,15,341
89,04/12/2017,16,375
90,04/12/2017,17,515
91,04/12/2017,18,807
92,04/12/2017,19,568
93,04/12/2017,20,398
94,04/12/2017,21,397
95,04/12/2017,22,353
96,04/12/2017,23,248
97,05/12/2017,0,216
98,05/12/2017,1,198
99,05/12/2017,2,124
100,05/12/2017,3,62
101,05/12/2017,4,42
102,05/12/2017,5,82
103,05/12/2017,6,172
104,05/12/2017,7,381
105,05/12/2017,8,812
106,05/12/2017,9,462
107,05/12/2017,10,269
