weather_id,Date,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm)
1,01/12/2017,-5.2,37.0,2.2,2000.0,-17.6,0.0,0.0,0.0
2,01/12/2017,-5.5,38.0,0.8,2000.0,-17.6,0.0,0.0,0.0
3,01/12/2017,-6.0,39.0,1.0,2000.0,-17.7,0.0,0.0,0.0
4,01/12/2017,-6.2,40.0,0.9,2000.0,-17.6,0.0,0.0,0.0
5,01/12/2017,-6.0,36.0,2.3,2000.0,-18.6,0.0,0.0,0.0
6,01/12/2017,-6.4,37.0,1.5,2000.0,-18.7,0.0,0.0,0.0
7,01/12/2017,-6.6,35.0,1.3,2000.0,-19.5,0.0,0.0,0.0
8,01/12/2017,-7.4,38.0,0.9,2000.0,-19.3,0.0,0.0,0.0
9,01/12/2017,-7.6,37.0,1.1,2000.0,-19.8,0.01,0.0,0.0
10,01/12/2017,-6.5,27.0,0.5,1928.0,-22.4,0.23,0.0,0.0
11,01/12/2017,-3.5,24.0,1.2,1996.0,-21.2,0.65,0.0,0.0
12,01/12/2017,-0.5,21.0,1.3,1936.0,-20.2,0.94,0.0,0.0
13,01/12/2017,1.7,23.0,1.4,2000.0,-17.2,1.11,0.0,0.0
14,01/12/2017,2.4,25.0,1.6,2000.0,-15.6,1.16,0.0,0.0
15,01/12/2017,3.0,26.0,2.0,2000.0,-14.6,1.01,0.0,0.0
16,01/12/2017,2.1,36.0,3.2,2000.0,-11.4,0.54,0.0,0.0
17,01/12/2017,1.2,54.0,4.2,793.0,-7.0,0.24,0.0,0.0
18,01/12/2017,0.8,58.0,1.6,2000.0,-6.5,0.08,0.0,0.0
19,01/12/2017,0.6,66.0,1.4,2000.0,-5.0,0.0,0.0,0.0
20,01/12/2017,0.0,77.0,1.7,2000.0,-3.5,0.0,0.0,0.0
21,01/12/2017,-0.3,79.0,1.5,1913.0,-3.5,0.0,0.0,0.0
22,01/12/2017,-0.8,81.0,0.8,1687.0,-3.6,0.0,0.0,0.0
23,01/12/2017,-0.9,83.0,1.5,1380.0,-3.4,0.0,0.0,0.0
24,01/12/2017,-1.3,84.0,1.0,1265.0,-3.6,0.0,0.0,0.0
25,02/12/2017,-1.8,87.0,1.1,994.0,-3.6,0.0,0.0,0.0
26,02/12/2017,-2.2,86.0,0.6,990.0,-4.2,0.0,0.0,0.0
27,02/12/2017,-2.9,86.0,1.5,1256.0,-4.9,0.0,0.0,0.0
28,02/12/2017,-3.5,81.0,2.2,1221.0,-6.2,0.0,0.0,0.0
29,02/12/2017,-3.8,79.0,2.0,1167.0,-6.9,0.0,0.0,0.0
30,02/12/2017,-4.0,79.0,1.5,1202.0,-7.1,0.0,0.0,0.0
31,02/12/2017,-4.3,82.0,2.1,1178.0,-6.9,0.0,0.0,0.0
32,02/12/2017,-4.4,81.0,2.5,1276.0,-7.1,0.0,0.0,0.0
33,02/12/2017,-4.2,79.0,2.1,1436.0,-7.3,0.01,0.0,0.0
34,02/12/2017,-2.9,68.0,1.6,1487.0,-7.9,0.3,0.0,0.0
35,02/12/2017,-0.4,57.0,1.6,1309.0,-7.8,0.8,0.0,0.0
36,02/12/2017,1.9,49.0,1.8,1406.0,-7.7,1.0,0.0,0.0
37,02/12/2017,4.3,41.0,1.3,1666.0,-7.8,1.09,0.0,0.0
38,02/12/2017,6.0,36.0,1.8,1780.0,-7.9,1.12,0.0,0.0
39,02/12/2017,7.3,35.0,1.3,1955.0,-7.1,0.99,0.0,0.0
40,02/12/2017,7.6,41.0,2.3,1953.0,-4.8,0.74,0.0,0.0
41,02/12/2017,6.4,48.0,2.6,1945.0,-3.8,0.22,0.0,0.0
42,02/12/2017,6.0,51.0,2.5,1891.0,-3.3,0.06,0.0,0.0
43,02/12/2017,5.5,53.0,1.5,1697.0,-3.3,0.0,0.0,0.0
44,02/12/2017,5.0,52.0,2.3,1666.0,-4.0,0.0,0.0,0.0
45,02/12/2017,4.6,51.0,1.2,1585.0,-4.6,0.0,0.0,0.0
46,02/12/2017,4.1,55.0,1.2,1448.0,-4.1,0.0,0.0,0.0
47,02/12/2017,3.5,54.0,1.5,1446.0,-4.9,0.0,0.0,0.0
48,02/12/2017,4.0,56.0,1.0,1352.0,-4.0,0.0,0.0,0.0
49,03/12/2017,4.0,58.0,1.4,1296.0,-3.5,0.0,0.0,0.0
50,03/12/2017,3.9,69.0,1.7,485.0,-1.2,0.0,0.0,0.0
51,03/12/2017,3.3,79.0,1.4,830.0,0.0,0.0,0.0,0.0
52,03/12/2017,3.4,71.0,1.6,1011.0,-1.3,0.0,0.5,0.0
53,03/12/2017,3.5,73.0,1.0,1060.0,-0.8,0.0,0.0,0.0
54,03/12/2017,3.9,75.0,1.9,914.0,-0.1,0.0,0.0,0.0
55,03/12/2017,3.4,86.0,2.5,278.0,1.2,0.0,1.0,0.0
56,03/12/2017,3.1,91.0,1.2,129.0,1.7,0.0,0.0,0.0
57,03/12/2017,3.2,92.0,1.8,244.0,2.0,0.0,0.0,0.0
58,03/12/2017,3.5,91.0,1.8,231.0,2.1,0.02,2.5,0.0
