employment_id,workclass,education,marital-status,occupation,relationship,education-num,hours-per-week
1, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family,13,40
2, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband,13,13
3, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family,9,40
4, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband,7,40
5, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife,13,40
6, Private, Masters, Married-civ-spouse, Exec-managerial, Wife,14,40
7, Private, 9th, Married-spouse-absent, Other-service, Not-in-family,5,16
8, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband,9,45
9, Private, Masters, Never-married, Prof-specialty, Not-in-family,14,50
10, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,13,40
11, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband,10,80
12, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband,13,40
13, Private, Bachelors, Never-married, Adm-clerical, Own-child,13,30
14, Private, Assoc-acdm, Never-married, Sales, Not-in-family,12,50
15, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband,11,40
16, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband,4,45
17, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child,9,35
18, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried,9,40
19, Private, 11th, Married-civ-spouse, Sales, Husband,7,50
20, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Unmarried,14,45
21, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband,16,60
22, Private, HS-grad, Separated, Other-service, Unmarried,9,20
23, Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Husband,5,40
24, Private, 11th, Married-civ-spouse, Transport-moving, Husband,7,40
25, Private, HS-grad, Divorced, Tech-support, Unmarried,9,40
26, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband,13,40
27, Private, HS-grad, Never-married, Craft-repair, Own-child,9,40
28, ?, Some-college, Married-civ-spouse, ?, Husband,10,60
29, Private, HS-grad, Divorced, Exec-managerial, Not-in-family,9,80
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,9,40
31, Local-gov, Assoc-acdm, Never-married, Protective-serv, Not-in-family,12,52
32, Private, Some-college, Never-married, Sales, Own-child,10,44
33, Private, Bachelors, Divorced, Exec-managerial, Own-child,13,40
34, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Own-child,10,40
35, State-gov, Some-college, Married-civ-spouse, Other-service, Husband,10,15
36, Private, 11th, Never-married, Machine-op-inspct, Unmarried,7,40
37, Private, Some-college, Never-married, Machine-op-inspct, Own-child,10,40
38, Private, HS-grad, Married-AF-spouse, Adm-clerical, Wife,9,25
39, Private, Some-college, Married-civ-spouse, Sales, Husband,10,38
40, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband,12,40
41, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband,5,43
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband,13,40
43, Private, Bachelors, Married-civ-spouse, Tech-support, Husband,13,50
44, Private, HS-grad, Separated, Adm-clerical, Unmarried,9,40
45, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family,9,35
46, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband,13,40
47, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband,9,38
48, Private, Masters, Divorced, Exec-managerial, Unmarried,14,40
49, State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband,11,40
50, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family,11,43
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife,10,40
52, Private, HS-grad, Never-married, Other-service, Own-child,9,30
53, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife,15,60
54, Federal-gov, Bachelors, Divorced, Exec-managerial, Not-in-family,13,55
55, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family,9,60
56, Private, Some-college, Married-civ-spouse, Tech-support, Husband,10,40
57, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband,3,40
58, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband,11,40
59, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband,9,48
60, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband,9,40
61, Private, Bachelors, Married-civ-spouse, Sales, Husband,13,40
62, ?, 7th-8th, Married-spouse-absent, ?, Not-in-family,4,40
63, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband,9,40
64, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband,16,45
65, Private, Some-college, Divorced, Tech-support, Not-in-family,10,58
66, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,9,40
67, Private, Some-college, Divorced, Adm-clerical, Not-in-family,10,40
68, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife,9,40
69, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband,10,50
70, ?, Some-college, Never-married, ?, Own-child,10,40
71, Private, Some-college, Never-married, Prof-specialty, Own-child,10,32
72, Private, Bachelors, Separated, Sales, Own-child,13,40
73, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband,13,70
74, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family,10,40
75, Private, Some-college, Married-civ-spouse, Prof-specialty, Other-relative,10,20
76, Private, HS-grad, Never-married, Other-service, Own-child,9,40
77, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband,12,40
78, ?, 10th, Married-civ-spouse, ?, Husband,6,2
79, Private, 11th, Never-married, Other-service, Own-child,7,22
80, Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, Husband,4,40
