sepal_length,sepal_width,petal_length,petal_width,class
3.5699999999999994,2.4499999999999997,1.4,0.2,0
3.43,2.0999999999999996,1.4,0.2,0
3.29,2.2399999999999998,1.3,0.2,0
3.2199999999999998,2.17,1.5,0.2,0
3.5,2.52,1.4,0.2,0
3.78,2.73,1.7,0.4,0
3.2199999999999998,2.38,1.4,0.3,0
3.5,2.38,1.5,0.2,0
3.08,2.03,1.4,0.2,0
3.43,2.17,1.5,0.1,0
3.78,2.59,1.5,0.2,0
3.36,2.38,1.6,0.2,0
3.36,2.0999999999999996,1.4,0.1,0
3.01,2.0999999999999996,1.1,0.1,0
4.06,2.8,1.2,0.2,0
3.9899999999999998,3.08,1.5,0.4,0
3.78,2.73,1.3,0.4,0
3.5699999999999994,2.4499999999999997,1.4,0.3,0
3.9899999999999998,2.6599999999999997,1.7,0.3,0
3.5699999999999994,2.6599999999999997,1.5,0.3,0
3.78,2.38,1.7,0.2,0
3.5699999999999994,2.59,1.5,0.4,0
3.2199999999999998,2.52,1.0,0.2,0
3.5699999999999994,2.3099999999999996,1.7,0.5,0
3.36,2.38,1.9,0.2,0
3.5,2.0999999999999996,1.6,0.2,0
3.5,2.38,1.6,0.4,0
3.6399999999999997,2.4499999999999997,1.5,0.2,0
3.6399999999999997,2.38,1.4,0.2,0
3.29,2.2399999999999998,1.6,0.2,0
3.36,2.17,1.6,0.2,0
3.78,2.38,1.5,0.4,0
3.6399999999999997,2.8699999999999997,1.5,0.1,0
3.8499999999999996,2.94,1.4,0.2,0
3.43,2.17,1.5,0.1,0
3.5,2.2399999999999998,1.2,0.2,0
3.8499999999999996,2.4499999999999997,1.3,0.2,0
3.43,2.17,1.5,0.1,0
3.08,2.0999999999999996,1.3,0.2,0
3.5699999999999994,2.38,1.5,0.2,0
3.5,2.4499999999999997,1.3,0.3,0
3.15,1.6099999999999999,1.3,0.3,0
3.08,2.2399999999999998,1.3,0.2,0
3.5,2.4499999999999997,1.6,0.6,0
3.5699999999999994,2.6599999999999997,1.9,0.4,0
3.36,2.0999999999999996,1.4,0.3,0
3.5699999999999994,2.6599999999999997,1.6,0.2,0
3.2199999999999998,2.2399999999999998,1.4,0.2,0
3.7099999999999995,2.59,1.5,0.2,0
3.5,2.3099999999999996,1.4,0.2,0
4.8999999999999995,2.2399999999999998,4.7,1.4,1
4.4799999999999995,2.2399999999999998,4.5,1.5,1
4.83,2.17,4.9,1.5,1
3.8499999999999996,1.6099999999999999,4.0,1.3,1
4.55,1.9599999999999997,4.6,1.5,1
3.9899999999999998,1.9599999999999997,4.5,1.3,1
4.409999999999999,2.3099999999999996,4.7,1.6,1
3.43,1.68,3.3,1.0,1
4.619999999999999,2.03,4.6,1.3,1
3.6399999999999997,1.89,3.9,1.4,1
3.5,1.4,3.5,1.0,1
4.13,2.0999999999999996,4.2,1.5,1
4.199999999999999,1.54,4.0,1.0,1
4.27,2.03,4.7,1.4,1
3.9199999999999995,2.03,3.6,1.3,1
4.6899999999999995,2.17,4.4,1.4,1
3.9199999999999995,2.0999999999999996,4.5,1.5,1
4.06,1.89,4.1,1.0,1
4.34,1.54,4.5,1.5,1
3.9199999999999995,1.75,3.9,1.1,1
4.13,2.2399999999999998,4.8,1.8,1
4.27,1.9599999999999997,4.0,1.3,1
4.409999999999999,1.75,4.9,1.5,1
4.27,1.9599999999999997,4.7,1.2,1
4.4799999999999995,2.03,4.3,1.3,1
4.619999999999999,2.0999999999999996,4.4,1.4,1
4.76,1.9599999999999997,4.8,1.4,1
4.6899999999999995,2.0999999999999996,5.0,1.7,1
4.199999999999999,2.03,4.5,1.5,1
3.9899999999999998,1.8199999999999998,3.5,1.0,1
3.8499999999999996,1.68,3.8,1.1,1
3.8499999999999996,1.68,3.7,1.0,1
4.06,1.89,3.9,1.2,1
4.199999999999999,1.89,5.1,1.6,1
3.78,2.0999999999999996,4.5,1.5,1
4.199999999999999,2.38,4.5,1.6,1
4.6899999999999995,2.17,4.7,1.5,1
4.409999999999999,1.6099999999999999,4.4,1.3,1
3.9199999999999995,2.0999999999999996,4.1,1.3,1
3.8499999999999996,1.75,4.0,1.3,1
3.8499999999999996,1.8199999999999998,4.4,1.2,1
4.27,2.0999999999999996,4.6,1.4,1
4.06,1.8199999999999998,4.0,1.2,1
3.5,1.6099999999999999,3.3,1.0,1
3.9199999999999995,1.89,4.2,1.3,1
3.9899999999999998,2.0999999999999996,4.2,1.2,1
3.9899999999999998,2.03,4.2,1.3,1
4.34,2.03,4.3,1.3,1
3.5699999999999994,1.75,3.0,1.1,1
3.9899999999999998,1.9599999999999997,4.1,1.3,1
4.409999999999999,2.3099999999999996,6.0,2.5,2
4.06,1.89,5.1,1.9,2
4.97,2.0999999999999996,5.9,2.1,2
4.409999999999999,2.03,5.6,1.8,2
4.55,2.0999999999999996,5.8,2.2,2
5.319999999999999,2.0999999999999996,6.6,2.1,2
3.43,1.75,4.5,1.7,2
5.109999999999999,2.03,6.3,1.8,2
4.6899999999999995,1.75,5.8,1.8,2
5.04,2.52,6.1,2.5,2
4.55,2.2399999999999998,5.1,2.0,2
4.4799999999999995,1.89,5.3,1.9,2
4.76,2.0999999999999996,5.5,2.1,2
3.9899999999999998,1.75,5.0,2.0,2
4.06,1.9599999999999997,5.1,2.4,2
4.4799999999999995,2.2399999999999998,5.3,2.3,2
4.55,2.0999999999999996,5.5,1.8,2
5.39,2.6599999999999997,6.7,2.2,2
5.39,1.8199999999999998,6.9,2.3,2
4.199999999999999,1.54,5.0,1.5,2
4.83,2.2399999999999998,5.7,2.3,2
3.9199999999999995,1.9599999999999997,4.9,2.0,2
5.39,1.9599999999999997,6.7,2.0,2
4.409999999999999,1.89,4.9,1.8,2
4.6899999999999995,2.3099999999999996,5.7,2.1,2
5.04,2.2399999999999998,6.0,1.8,2
4.34,1.9599999999999997,4.8,1.8,2
4.27,2.0999999999999996,4.9,1.8,2
4.4799999999999995,1.9599999999999997,5.6,2.1,2
5.04,2.0999999999999996,5.8,1.6,2
5.18,1.9599999999999997,6.1,1.9,2
5.53,2.6599999999999997,6.4,2.0,2
4.4799999999999995,1.9599999999999997,5.6,2.2,2
4.409999999999999,1.9599999999999997,5.1,1.5,2
4.27,1.8199999999999998,5.6,1.4,2
5.39,2.0999999999999996,6.1,2.3,2
4.409999999999999,2.38,5.6,2.4,2
4.4799999999999995,2.17,5.5,1.8,2
4.199999999999999,2.0999999999999996,4.8,1.8,2
4.83,2.17,5.4,2.1,2
4.6899999999999995,2.17,5.6,2.4,2
4.83,2.17,5.1,2.3,2
4.06,1.89,5.1,1.9,2
4.76,2.2399999999999998,5.9,2.3,2
4.6899999999999995,2.3099999999999996,5.7,2.5,2
4.6899999999999995,2.0999999999999996,5.2,2.3,2
4.409999999999999,1.75,5.0,1.9,2
4.55,2.0999999999999996,5.2,2.0,2
4.34,2.38,5.4,2.3,2
4.13,2.0999999999999996,5.1,1.8,2
