sepal_length,sepal_width,petal_length,petal_width,class
5.161696824809372,3.51629184124203,1.4,0.2,0
4.882826202323742,3.022532695922925,1.4,0.2,0
4.780449340982103,3.1557717723706884,1.3,0.2,0
4.789175415398571,3.115105582282277,1.5,0.2,0
4.970915828245984,3.6190611835858726,1.4,0.2,0
5.370917867496386,3.8535391933245395,1.7,0.4,0
4.7961538962085335,3.521348382147536,1.4,0.3,0
5.095323005696808,3.430817688856521,1.5,0.2,0
4.341686624458109,2.82251863707606,1.4,0.2,0
4.96739133917316,3.1427016864711903,1.5,0.1,0
5.342438925821453,3.636607535860068,1.5,0.2,0
4.742151744941549,3.4511913110115215,1.6,0.2,0
4.830054114199862,3.0753540678340463,1.4,0.1,0
4.062351615410452,2.9466235222990766,1.1,0.1,0
5.585748095402645,4.062657161401368,1.2,0.2,0
5.630158311427678,4.426846919263771,1.5,0.4,0
5.274196328383379,3.953466091345663,1.3,0.4,0
5.13903263578943,3.6233657970665663,1.4,0.3,0
5.587214402950871,3.784040166323791,1.7,0.3,0
4.924577871375972,3.750977643029997,1.5,0.3,0
5.582048115158459,3.3421467405159704,1.7,0.2,0
5.071956343960042,3.646940395193235,1.5,0.4,0
4.608387672847783,3.594985370610262,1.0,0.2,0
4.923032142914811,3.32218823333857,1.7,0.5,0
4.732382265774659,3.4179957334893625,1.9,0.2,0
5.013777685904949,3.053799292685415,1.6,0.2,0
4.8570351807524785,3.4008456319532807,1.6,0.4,0
5.246665420501069,3.594536616083972,1.5,0.2,0
5.125394716858786,3.382786945396734,1.4,0.2,0
4.663768742908001,3.376917481486407,1.6,0.2,0
4.725262070314879,3.140692870419395,1.6,0.2,0
5.630071323627628,3.34425120393952,1.5,0.4,0
5.198323510805922,4.030350065714041,1.5,0.1,0
5.368621810980943,4.231379594195793,1.4,0.2,0
5.002168237067977,3.085466171122235,1.5,0.1,0
4.84835910888532,3.246437982882217,1.2,0.2,0
5.525942930258669,3.5307789712906454,1.3,0.2,0
4.656589532260747,3.0952632696653932,1.5,0.1,0
4.235026118188169,2.9449252591422472,1.3,0.2,0
5.124452118200262,3.3014756291190146,1.5,0.2,0
