Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons_Spring,Seasons_Summer,Seasons_Winter,Holiday_No Holiday,Functioning Day_Yes,Rented Bike Count
0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,False,False,True,True,True,270.0189685441237
1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,False,False,True,True,True,199.54099379329267
2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,False,False,True,True,True,193.88787334793307
3,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,False,False,True,True,True,156.11752003371987
4,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,False,False,True,True,True,70.44858331204283
5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,False,False,True,True,True,92.44911278318064
6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,False,False,True,True,True,231.92941335117922
7,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,False,False,True,True,True,484.74967284793786
8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,False,False,True,True,True,914.8595104951767
9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,False,False,True,True,True,507.4974927104713
10,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,False,False,True,True,True,324.0548380815206
11,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,False,False,True,True,True,344.9802744148188
12,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,False,False,True,True,True,456.80325262242604
13,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,False,False,True,True,True,389.2969543560127
14,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,False,False,True,True,True,391.37161829854386
15,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,False,False,True,True,True,444.8662983749116
16,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,False,False,True,True,True,451.3363246068412
17,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,False,False,True,True,True,565.1344366883877
18,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,False,False,True,True,True,832.7163385321288
19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,False,False,True,True,True,554.4533844480007
20,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,False,False,True,True,True,473.26698722747506
21,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,False,False,True,True,True,397.71874289553284
22,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,False,False,True,True,True,400.17777605123433
23,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,False,False,True,True,True,277.052051386314
0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,False,False,True,True,True,310.4437260600141
1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,False,False,True,True,True,311.57723947389695
2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,False,False,True,True,True,224.8806028589257
3,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,False,False,True,True,True,179.11621352338
4,-3.8,79,2.0,1167,-6.9,0.0,0.0,0.0,False,False,True,True,True,69.62947829880855
5,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,False,False,True,True,True,69.59291350139901
6,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,False,False,True,True,True,50.59503793950484
7,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,False,False,True,True,True,205.73573692784282
8,-4.2,79,2.1,1436,-7.3,0.01,0.0,0.0,False,False,True,True,True,218.56471621112627
9,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,False,False,True,True,True,293.88895646116754
10,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,False,False,True,True,True,360.52696927041666
11,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,False,False,True,True,True,348.6279468631595
12,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,False,False,True,True,True,485.7358244940488
13,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,False,False,True,True,True,542.8008866246674
14,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,False,False,True,True,True,568.1661680886979
15,7.6,41,2.3,1953,-4.8,0.74,0.0,0.0,False,False,True,True,True,595.3487499315798
16,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,False,False,True,True,True,641.8154537053539
17,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,False,False,True,True,True,577.5266053709177
18,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,False,False,True,True,True,485.27035753555975
19,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,False,False,True,True,True,375.28944394089945
20,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,False,False,True,True,True,311.3178530108132
21,4.1,55,1.2,1448,-4.1,0.0,0.0,0.0,False,False,True,True,True,353.7851154209336
22,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,False,False,True,True,True,339.14445795942163
23,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,False,False,True,True,True,400.0920579501021
0,4.0,58,1.4,1296,-3.5,0.0,0.0,0.0,False,False,True,True,True,353.08164633202693
1,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,False,False,True,True,True,170.14217821342416
2,3.3,79,1.4,830,0.0,0.0,0.0,0.0,False,False,True,True,True,238.45166697972581
3,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,False,False,True,True,True,104.58114521301167
4,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,False,False,True,True,True,54.169351197284605
5,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,False,False,True,True,True,51.72648286892404
6,3.4,86,2.5,278,1.2,0.0,1.0,0.0,False,False,True,True,True,46.24960406251144
7,3.1,91,1.2,129,1.7,0.0,0.0,0.0,False,False,True,True,True,52.03366592929116
8,3.2,92,1.8,244,2.0,0.0,0.0,0.0,False,False,True,True,True,57.93534113195109
9,3.5,91,1.8,231,2.1,0.02,2.5,0.0,False,False,True,True,True,142.027940029117
10,4.4,89,2.2,257,2.7,0.24,0.0,0.0,False,False,True,True,True,210.6832037204951
11,5.1,87,1.4,321,3.1,0.25,0.0,0.0,False,False,True,True,True,304.46120683296266
12,5.8,85,1.7,349,3.4,0.43,0.0,0.0,False,False,True,True,True,317.54669149919596
13,6.8,81,1.9,390,3.7,0.6,0.0,0.0,False,False,True,True,True,489.0125215094392
14,7.6,76,1.2,422,3.6,0.69,0.0,0.0,False,False,True,True,True,527.320837164739
15,8.0,73,1.6,433,3.4,0.53,0.0,0.0,False,False,True,True,True,582.4224878287546
16,7.6,77,1.6,399,3.8,0.2,0.0,0.0,False,False,True,True,True,624.2038548958491
17,6.7,82,1.5,358,3.8,0.05,0.0,0.0,False,False,True,True,True,588.7385692037371
18,6.0,84,1.9,327,3.4,0.0,0.0,0.0,False,False,True,True,True,440.67768269645455
19,5.7,85,1.7,309,3.3,0.0,0.0,0.0,False,False,True,True,True,454.3638088966676
20,5.2,87,1.4,253,3.2,0.0,0.0,0.0,False,False,True,True,True,408.66271601995
21,4.7,87,1.2,247,2.7,0.0,0.0,0.0,False,False,True,True,True,364.1949695945575
22,4.3,89,1.8,201,2.6,0.0,0.0,0.0,False,False,True,True,True,361.65496252025036
23,3.9,90,1.3,194,2.4,0.0,0.0,0.0,False,False,True,True,True,352.6014845330434
