context_id,Date,Seasons,Holiday,Functioning Day
1,01/12/2017,Winter,No Holiday,Yes
2,01/12/2017,Winter,No Holiday,Yes
3,01/12/2017,Winter,No Holiday,Yes
4,01/12/2017,Winter,No Holiday,Yes
5,01/12/2017,Winter,No Holiday,Yes
6,01/12/2017,Winter,No Holiday,Yes
7,01/12/2017,Winter,No Holiday,Yes
8,01/12/2017,Winter,No Holiday,Yes
9,01/12/2017,Winter,No Holiday,Yes
10,01/12/2017,Winter,No Holiday,Yes
11,01/12/2017,Winter,No Holiday,Yes
12,01/12/2017,Winter,No Holiday,Yes
13,01/12/2017,Winter,No Holiday,Yes
14,01/12/2017,Winter,No Holiday,Yes
15,01/12/2017,Winter,No Holiday,Yes
16,01/12/2017,Winter,No Holiday,Yes
17,01/12/2017,Winter,No Holiday,Yes
18,01/12/2017,Winter,No Holiday,Yes
19,01/12/2017,Winter,No Holiday,Yes
20,01/12/2017,Winter,No Holiday,Yes
21,01/12/2017,Winter,No Holiday,Yes
22,01/12/2017,Winter,No Holiday,Yes
23,01/12/2017,Winter,No Holiday,Yes
24,01/12/2017,Winter,No Holiday,Yes
25,02/12/2017,Winter,No Holiday,Yes
26,02/12/2017,Winter,No Holiday,Yes
27,02/12/2017,Winter,No Holiday,Yes
28,02/12/2017,Winter,No Holiday,Yes
29,02/12/2017,Winter,No Holiday,Yes
30,02/12/2017,Winter,No Holiday,Yes
31,02/12/2017,Winter,No Holiday,Yes
32,02/12/2017,Winter,No Holiday,Yes
33,02/12/2017,Winter,No Holiday,Yes
34,02/12/2017,Winter,No Holiday,Yes
35,02/12/2017,Winter,No Holiday,Yes
36,02/12/2017,Winter,No Holiday,Yes
37,02/12/2017,Winter,No Holiday,Yes
38,02/12/2017,Winter,No Holiday,Yes
39,02/12/2017,Winter,No Holiday,Yes
40,02/12/2017,Winter,No Holiday,Yes
41,02/12/2017,Winter,No Holiday,Yes
42,02/12/2017,Winter,No Holiday,Yes
43,02/12/2017,Winter,No Holiday,Yes
44,02/12/2017,Winter,No Holiday,Yes
45,02/12/2017,Winter,No Holiday,Yes
46,02/12/2017,Winter,No Holiday,Yes
47,02/12/2017,Winter,No Holiday,Yes
48,02/12/2017,Winter,No Holiday,Yes
49,03/12/2017,Winter,No Holiday,Yes
50,03/12/2017,Winter,No Holiday,Yes
51,03/12/2017,Winter,No Holiday,Yes
52,03/12/2017,Winter,No Holiday,Yes
53,03/12/2017,Winter,No Holiday,Yes
54,03/12/2017,Winter,No Holiday,Yes
55,03/12/2017,Winter,No Holiday,Yes
56,03/12/2017,Winter,No Holiday,Yes
57,03/12/2017,Winter,No Holiday,Yes
58,03/12/2017,Winter,No Holiday,Yes
59,03/12/2017,Winter,No Holiday,Yes
60,03/12/2017,Winter,No Holiday,Yes
61,03/12/2017,Winter,No Holiday,Yes
62,03/12/2017,Winter,No Holiday,Yes
63,03/12/2017,Winter,No Holiday,Yes
64,03/12/2017,Winter,No Holiday,Yes
65,03/12/2017,Winter,No Holiday,Yes
66,03/12/2017,Winter,No Holiday,Yes
67,03/12/2017,Winter,No Holiday,Yes
68,03/12/2017,Winter,No Holiday,Yes
70,03/12/2017,Winter,No Holiday,Yes
71,03/12/2017,Winter,No Holiday,Yes
72,03/12/2017,Winter,No Holiday,Yes
73,04/12/2017,Winter,No Holiday,Yes
74,04/12/2017,Winter,No Holiday,Yes
75,04/12/2017,Winter,No Holiday,Yes
76,04/12/2017,Winter,No Holiday,Yes
77,04/12/2017,Winter,No Holiday,Yes
78,04/12/2017,Winter,No Holiday,Yes
79,04/12/2017,Winter,No Holiday,Yes
80,04/12/2017,Winter,No Holiday,Yes
81,04/12/2017,Winter,No Holiday,Yes
82,04/12/2017,Winter,No Holiday,Yes
83,04/12/2017,Winter,No Holiday,Yes
84,04/12/2017,Winter,No Holiday,Yes
85,04/12/2017,Winter,No Holiday,Yes
86,04/12/2017,Winter,No Holiday,Yes
87,04/12/2017,Winter,No Holiday,Yes
88,04/12/2017,Winter,No Holiday,Yes
89,04/12/2017,Winter,No Holiday,Yes
90,04/12/2017,Winter,No Holiday,Yes
91,04/12/2017,Winter,No Holiday,Yes
92,04/12/2017,Winter,No Holiday,Yes
93,04/12/2017,Winter,No Holiday,Yes
94,04/12/2017,Winter,No Holiday,Yes
95,04/12/2017,Winter,No Holiday,Yes
96,04/12/2017,Winter,No Holiday,Yes
