census_id,fnlwgt,capital-gain,capital-loss,income
1,77516,2174,0,0
2,83311,0,0,0
3,215646,0,0,0
4,234721,0,0,0
5,338409,0,0,0
6,284582,0,0,0
7,160187,0,0,0
8,209642,0,0,1
9,45781,14084,0,1
10,159449,5178,0,1
11,280464,0,0,1
12,141297,0,0,1
13,122272,0,0,0
14,205019,0,0,0
15,121772,0,0,1
16,245487,0,0,0
17,176756,0,0,0
18,186824,0,0,0
19,28887,0,0,0
20,292175,0,0,1
21,193524,0,0,1
22,302146,0,0,0
23,76845,0,0,0
24,117037,0,2042,0
25,109015,0,0,0
26,216851,0,0,1
27,168294,0,0,0
28,180211,0,0,1
29,367260,0,0,0
30,193366,0,0,0
31,190709,0,0,0
32,266015,0,0,0
33,386940,0,1408,0
34,59951,0,0,0
35,311512,0,0,0
36,242406,0,0,0
37,197200,0,0,0
38,544091,0,0,0
39,84154,0,0,1
40,265477,0,0,0
41,507875,0,0,0
42,88506,0,0,0
43,172987,0,0,0
44,94638,0,0,0
45,289980,0,0,0
46,337895,0,0,1
47,144361,0,0,0
48,128354,0,0,0
49,101603,0,0,0
50,271466,0,0,0
51,32275,0,0,0
52,226956,0,0,0
53,51835,0,1902,1
54,251585,0,0,1
55,109832,0,0,0
56,237993,0,0,1
57,216666,0,0,0
58,56352,0,0,0
59,147372,0,0,0
60,188146,5013,0,0
61,59496,2407,0,0
62,293936,0,0,0
63,149640,0,0,0
64,116632,0,0,1
65,105598,0,0,0
66,155537,0,0,0
67,183175,0,0,0
68,169846,0,0,1
69,191681,0,0,1
70,200681,0,0,0
71,101509,0,0,0
72,309974,0,0,0
73,162298,0,0,1
74,211678,0,0,0
75,124744,0,0,0
76,213921,0,0,0
77,32214,0,0,0
78,212759,0,0,0
79,309634,0,0,0
80,125927,0,0,0
81,446839,0,0,0
82,276515,0,0,0
83,51618,0,0,0
84,159937,0,0,0
85,343591,14344,0,1
86,346253,0,0,0
87,268234,0,0,1
88,202051,0,0,0
89,54334,0,0,0
90,410867,0,0,1
91,249977,0,0,0
92,286730,0,0,0
93,212563,0,0,0
94,117747,0,1573,0
95,226296,0,0,1
96,115585,0,0,0
97,191277,0,1902,1
98,202683,0,0,1
99,171095,0,0,0
100,249409,0,0,0
101,124191,0,0,1
102,198282,15024,0,1
103,149116,0,0,0
104,188300,0,0,0
105,103432,0,0,0
106,317660,7688,0,1
107,304873,34095,0,0
108,194901,0,0,0
109,189265,0,0,0
110,124692,0,0,0
111,432376,0,0,0
112,65324,0,0,1
113,335605,0,1887,1
114,377869,4064,0,0
115,102864,0,0,0
116,95647,0,0,0
117,303090,0,0,0
118,197371,0,0,1
119,247552,0,0,0
120,102632,0,0,0
121,199915,0,0,0
122,118853,0,0,0
123,77143,0,0,0
124,267989,0,0,1
125,301606,0,0,0
126,287828,0,0,1
127,111697,0,1719,0
128,114937,0,0,1
129,129305,0,0,0
130,365739,0,0,0
131,69621,0,0,0
132,43323,0,1762,0
133,120985,4386,0,0
134,254202,0,0,0
135,146195,0,0,0
136,125933,0,0,1
137,56920,0,0,0
138,163127,0,0,0
139,34310,0,0,0
140,81973,0,0,1
141,66614,0,0,0
142,232782,0,0,0
143,316868,0,0,0
144,196584,0,1564,1
145,105376,0,0,0
146,185814,0,0,0
148,108293,0,0,0
149,181232,0,2179,0
150,174662,0,0,0
151,186009,0,0,0
152,198183,0,0,0
154,296158,0,0,0
155,252903,0,0,1
156,187715,0,0,0
157,214542,0,0,0
158,494223,0,1816,0
159,191535,0,0,0
160,228456,0,0,0
161,38317,0,0,0
162,252752,0,0,0
163,78374,0,0,0
164,88419,0,0,0
165,201080,0,0,1
166,207157,0,0,0
167,235485,0,0,0
168,102628,0,0,0
169,25828,0,0,0
170,54826,0,0,0
171,124953,0,1980,0
172,175325,0,0,0
173,96062,0,1977,1
174,428030,0,0,0
175,149624,0,0,1
176,253814,0,0,0
177,312956,0,0,0
178,483777,0,0,0
179,183930,0,0,0
180,37274,0,0,0
181,181344,0,0,1
182,114580,0,0,0
183,633742,0,0,0
184,286370,0,0,1
185,29054,0,0,1
186,304030,0,0,0
187,143129,0,0,0
188,135105,0,0,0
189,99928,0,0,0
190,109567,0,0,1
191,155222,0,0,0
192,159567,0,0,0
193,523910,0,0,0
194,120939,0,0,0
195,130760,0,0,0
196,197387,0,0,0
197,99374,0,0,0
198,56795,14084,0,1
199,138992,7298,0,1
200,32921,0,0,0
201,397317,0,1876,0
202,170653,0,0,0
203,259323,0,0,1
204,254817,0,1340,0
205,48211,0,0,0
206,140164,0,0,0
207,128757,7298,0,1
208,36270,0,0,0
209,210563,15024,0,1
210,65368,0,0,0
211,160943,0,0,0
212,208358,0,0,1
213,153790,0,0,0
214,85815,0,0,0
215,125417,0,0,1
216,635913,0,0,1
217,313321,0,0,0
218,182609,0,0,0
219,109434,0,0,0
220,255004,0,0,0
221,197860,0,0,0
222,187656,0,0,0
223,51744,0,2206,0
224,176681,0,0,0
225,140359,0,0,0
226,243313,0,0,0
227,24215,0,0,0
228,167687,1409,0,0
229,314209,0,0,0
230,176796,0,0,0
231,538583,3674,0,0
232,130408,0,0,0
233,159732,0,0,0
234,110978,0,0,0
235,76714,0,0,1
236,268700,0,0,0
237,170525,0,0,0
239,115076,0,0,1
240,115458,0,0,0
241,347890,0,0,1
242,196001,0,0,0
243,273905,0,0,0
244,119156,0,0,0
245,179488,0,1741,0
246,203580,0,0,0
247,236596,0,0,1
248,183916,0,0,0
249,207578,0,1977,1
250,153141,0,0,0
251,112763,0,0,1
252,390781,0,0,0
253,171328,0,0,0
254,27382,0,0,0
255,259014,0,0,0
256,303044,0,0,1
257,117789,0,0,0
258,172579,0,0,0
259,187666,0,0,0
260,204518,0,0,0
261,150042,0,0,0
262,98092,0,0,0
263,245918,0,0,0
264,146013,4064,0,0
266,257295,0,0,1
267,218956,0,0,0
268,21174,0,0,1
269,185480,0,0,0
270,222205,0,0,1
271,69867,0,0,1
272,191260,1055,0,0
273,30653,2407,0,0
274,209109,0,0,0
275,70377,0,0,0
276,477983,0,0,0
278,190174,0,0,0
279,193787,0,0,0
280,279472,7298,0,1
281,34918,0,0,0
282,97688,5178,0,1
283,175413,0,0,0
284,173960,0,0,0
285,205759,0,0,0
286,425161,15024,0,1
287,220531,0,0,1
288,176609,0,0,0
289,371987,0,0,0
290,193884,0,0,0
291,200352,0,0,0
292,127595,0,0,0
293,220419,0,0,0
294,231931,0,0,0
295,248402,0,0,0
296,111095,0,0,0
297,57424,0,0,0
298,157443,3464,0,0
299,278130,0,0,0
300,169469,0,0,0
301,146268,7688,0,1
302,153718,0,0,0
303,217460,0,0,1
304,238638,4386,0,1
305,303296,0,0,0
306,173321,0,0,0
307,193945,0,0,0
308,83082,0,0,0
309,193815,0,0,1
310,34987,0,0,1
311,59306,0,0,0
312,142897,7298,0,1
313,860348,0,0,0
314,205607,0,0,1
315,199698,0,0,0
316,191954,0,0,0
317,138714,0,0,0
318,399087,0,0,0
319,423158,0,0,0
320,159841,0,0,0
321,174308,0,0,0
322,50356,0,1485,0
323,186110,0,0,0
324,200381,0,0,0
325,174309,0,0,0
326,78383,0,0,0
327,211601,0,0,0
328,187728,0,1887,1
329,321171,0,0,0
330,127921,2050,0,0
331,206565,0,0,0
332,224563,0,0,0
333,178686,0,0,0
334,98545,0,0,0
335,242606,0,0,0
336,270942,0,0,0
337,94235,0,0,0
338,71195,0,0,0
339,104112,0,0,0
340,261192,0,0,0
341,94936,0,0,0
342,296478,7298,0,1
343,119272,7298,0,1
344,85043,0,0,0
345,293364,0,0,0
346,241895,0,0,0
348,151989,0,0,0
349,101128,0,0,0
350,156464,0,0,0
351,117963,0,0,1
352,192262,0,0,0
353,111363,0,0,1
354,329752,0,0,0
355,372020,0,0,1
356,95432,0,0,1
357,161400,0,0,0
358,96129,0,0,1
359,111949,0,0,0
360,117125,0,0,0
361,348022,0,0,0
362,270092,0,0,1
363,180609,0,0,0
364,174575,0,1564,1
365,410439,0,0,0
366,92262,0,0,0
367,183081,0,0,0
368,362589,0,0,0
369,212448,0,0,1
370,481060,0,0,0
371,185885,0,0,0
372,89821,0,0,0
373,184018,0,0,1
374,256649,0,0,0
375,160323,0,0,0
376,350845,0,0,0
377,267404,0,0,0
378,35633,0,0,0
379,80914,0,0,0
380,172927,0,0,0
381,174319,0,0,0
382,214955,0,2339,0
383,344991,0,0,0
384,108699,0,0,0
385,117312,0,0,0
386,396099,0,0,0
387,134152,0,0,0
388,162028,0,2415,1
389,25429,0,0,0
390,232392,0,0,0
391,220098,0,0,1
392,301302,0,0,0
393,277946,0,0,0
394,98101,7688,0,1
395,196164,0,0,0
396,115562,0,0,0
397,96975,0,0,0
398,137300,0,0,0
399,86872,0,0,1
400,132178,0,0,1
401,416103,0,0,0
402,108574,0,0,0
403,288353,0,0,1
404,227689,0,0,0
405,166481,0,2179,0
406,445382,0,1977,1
407,110145,0,0,0
408,317253,0,0,0
409,123147,0,1887,1
410,364657,0,0,0
411,42346,0,0,0
412,241951,0,0,0
413,118500,0,0,0
414,188386,15024,0,1
415,1033222,0,0,0
416,92440,0,0,1
417,190762,0,0,0
418,426017,0,0,0
419,243867,0,0,0
420,240283,0,0,0
421,61777,0,0,0
422,175024,2176,0,0
423,92003,0,0,1
424,188401,0,0,0
425,228528,0,0,0
426,133373,0,0,0
427,255191,0,1408,0
428,204653,0,0,0
429,222289,0,0,1
430,287480,0,0,0
431,107762,0,0,0
